Project_ID,Project_Name,Ministry,Sector,State,Start_Date,Target_DOC,Original_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Expenditure_Pct_of_Original_Cost,Revised_Cost_Cr,Cost_Overrun_Cr,Cost_Overrun_Pct,Cost_Overrun_Flag,Revised_DOC,Time_Overrun_Days,Time_Overrun_Months,Time_Overrun_Flag
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali. (South Eastern Railway [SER] - I) (400006) (-) (4689),Ministry of Railways,Railways,Odisha,10/1/2021,10/1/2025,808.99,743.46,40,91.8998,808.99,0,0,0,12/1/2026,426,14,1
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh (Airport Authority of India [AAI]) (400010) (N04000078) (4665)",Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,9/1/2018,9/1/2021,480,506.13,79.2,105.4437,640,160,33.3333,1,7/1/2026,1764,57.95,1
400012,Kandla Gorakhpur LPG Pipeline (Ministry of Petroleum & Natural Gas) (400012) (-) (4509),Ministry of Petroleum & Natural Gas,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",12/1/2018,12/1/2021,10088,8585.71,95.4,85.1081,10088,0,0,0,6/1/2026,1643,53.98,1
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF (Department of Telecommunications [DoT]) (400013) (-) (4599),Department of Telecommunications,Telecommunication,PAN India,7/1/2022,6/1/2024,26316,9791.8,85,37.2085,15392.8,-10923.2,-41.5078,0,3/1/2027,1003,32.95,1
400018,HURA C OCP (ECL - CIL) (400018) (N06000275) (4585),Ministry of Coal,Coal,Jharkhand,8/1/2022,3/1/2029,859.41,455.25,63.22,52.9724,859.41,0,0,0,,,,
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS] (Central Railway) (400019) (N22000514) (4514),Ministry of Railways,Railways,Maharashtra,4/1/2023,12/1/2026,492.76,542.26,25,110.0455,1170.83,678.07,137.6065,1,9/1/2027,274,9,1
400022,Taranga Hill-Abu Road via Ambaji (North Western Railway [NWR]) (400022) (N22000592) (4458),Ministry of Railways,Railways,"Multi-States (Gujarat, Rajasthan)",7/1/2022,7/1/2030,2798,2569.32,37,91.827,2798,0,0,0,7/1/2030,0,0,0
400023,Construction of New BG line between Hassan to Belur [27 Km] (South Western Railway [SWR] - II) (400023) (N22000558) (4449),Ministry of Railways,Railways,Karnataka,12/1/2025,4/1/2028,749,0.94,0,0.1255,749,0,0,0,3/1/2030,699,22.97,1
400033,BHATADI EXPANSION OC (Western Coalfields Limited [WCL]) (400033) (N06000254) (4376),Ministry of Coal,Coal,Maharashtra,5/1/2022,3/1/2028,580.61,112.17,33.91,19.3193,580.61,0,0,0,,,,
400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot (Indian Oil Corporation Limited [IOCL]) (400035)",Ministry of Petroleum & Natural Gas,Energy Storage,Tripura,6/1/2022,9/1/2025,656,541.81,97.7,82.593,656,0,0,0,6/1/2026,273,8.97,1
400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai] (Ministry of Petroleum & Natural Gas) (400043) (N16000455) (4272),Ministry of Petroleum & Natural Gas,Energy Storage,Tamil Nadu,1/1/2022,5/1/2026,829,378.18,78,45.6188,829,0,0,0,3/1/2027,304,9.99,1
400045,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme. (East Coast Railway [ECoR] - II) (400045) (-) (4299),Ministry of Railways,Railways,Odisha,7/1/2022,3/1/2025,168.32,69.85,82,41.4983,168.32,0,0,0,1/1/2025,-59,-1.94,0
400047,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin. (East Coast Railway [ECoR] - II) (400047) (-) (4292),Ministry of Railways,Railways,Odisha,6/1/2022,12/1/2024,210,40.56,52,19.3143,210,0,0,0,12/1/2026,730,23.98,1
400048,Doubling of lines connecting the loading spurs in Talcher Yard. (East Coast Railway [ECoR] - II) (400048) (-) (4247),Ministry of Railways,Railways,Odisha,6/1/2022,12/1/2024,186.21,103.1,88,55.3676,186.21,0,0,0,6/1/2027,912,29.96,1
400062,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal (Damodar Valley Corporation) (400062) (-) (4195)",Ministry of Power,Electricity Generation,West Bengal,2/1/2025,6/1/2029,17673,2043.87,10,11.5649,17673,0,0,0,,,,
400073,KONAR EXPANSION OCP (Ministry of Coal) (400073) (N06000245) (4077),Ministry of Coal,Coal,Jharkhand,1/1/2022,3/1/2032,674.65,433.64,46.25,64.2763,674.65,0,0,0,,,,
400074,KARO EXPANSION OCP (Ministry of Coal) (400074) (N06000246) (4074),Ministry of Coal,Coal,Jharkhand,1/1/2022,3/1/2029,849.31,289.45,22.38,34.0806,849.31,0,0,0,,,,
400078,New Mundra Panipat Crude Oil Pipeline (Ministry of Petroleum & Natural Gas) (400078) (N16000435) (4049),Ministry of Petroleum & Natural Gas,Energy Storage,"Multi-States (Gujarat, Haryana, Rajasthan)",12/1/2021,12/1/2024,9028,7456.3,92.7,82.5908,9028,0,0,0,6/1/2026,547,17.97,1
400081,"National Sports University [NSU], Imphal [Manipur] (Department of Sports & Youth Affairs) (400081)",Department of Sports,Education,Manipur,1/1/2022,8/1/2024,906.47,575.68,97.05,63.5079,611.74,-294.73,-32.514,0,8/1/2026,730,23.98,1
400087,Redevelopment of Sobhasan Complex (Oil and Natural Gas Corporation Limited [ONGC]) (400087) (N16000431) (3514),Ministry of Petroleum & Natural Gas,Oil & Gas,Gujarat,8/1/2021,3/1/2027,885.63,1022.45,89.2,115.4489,1347.61,461.98,52.164,1,3/1/2027,0,0,0
400100,Sardar Gouthu Latchanna Thotapalli Barrage Project (Water Resources-AP) (400100) (-) (3351),"Department of Water Resources, River Development & GR",Water Resources,Andhra Pradesh,1/1/2006,12/1/2019,353.05,872.65,95.88,247.1746,1023.24,670.19,189.8286,1,6/1/2026,2374,78,1
400101,Gundlakamma project (Water Resources-AP) (400101) (-) (3350),"Department of Water Resources, River Development & GR",Water Resources,Andhra Pradesh,4/1/2005,12/1/2019,397.41,624.78,98.3,157.213,697.39,299.98,75.4838,1,3/1/2027,2647,86.97,1
400102,Sri Ram Sagar Project Stage - II (Irrigation and CAD-TG) (400102) (-) (3344),"Department of Water Resources, River Development & GR",Water Resources,Telangana,4/1/2005,12/1/2019,736.13,971.47,97,131.9699,949.87,213.74,29.0356,1,12/1/2025,2192,72.02,1
400103,Indiramma Flood Flow Canal Project (Irrigation and CAD-TG) (400103) (-) (3339),"Department of Water Resources, River Development & GR",Water Resources,Telangana,1/1/2006,12/1/2019,1331.3,4491.08,92,337.3455,5940.09,4608.79,346.1872,1,12/1/2026,2557,84.01,1
400111,Kelo Irrigation Project (Water Resources-CT) (400111) (-) (3315),"Department of Water Resources, River Development & GR",Water Resources,Chhattisgarh,4/1/2008,12/1/2019,459.97,618.85,72,134.5414,727.04,267.07,58.0625,1,6/1/2026,2374,78,1
400115,Bargi Diversion Project Phase - IV [km. 154 to km 197] (Water Resources-MP) (400115) (-) (3308),"Department of Water Resources, River Development & GR",Water Resources,Madhya Pradesh,1/1/2009,12/1/2019,751.03,814.02,75,108.3871,893.35,142.32,18.95,1,3/1/2026,2282,74.97,1
400116,Bargi Diversion Project Phase - III [km. 104 to km 154] (Water Resources-MP) (400116) (-) (3307),"Department of Water Resources, River Development & GR",Water Resources,Madhya Pradesh,4/1/2007,12/1/2019,1229.15,2203.81,81.52,179.2954,1399.7,170.55,13.8754,1,12/1/2026,2557,84.01,1
400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields (Oil and Natural Gas Corporation Limited [ONGC]) (400119) (N16000213) (3294),Ministry of Petroleum & Natural Gas,Oil & Gas,Offshore,12/1/2015,4/1/2018,3190.69,3123.2,90,97.8848,3375.9,185.21,5.8047,1,10/1/2026,3105,102.01,1
400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block (Oil and Natural Gas Corporation Limited [ONGC]) (400120) (N16000247) (3284),Ministry of Petroleum & Natural Gas,Oil & Gas,Andhra Pradesh,3/1/2016,6/1/2020,34012,33006.7,96.6,97.0443,34012,0,0,0,9/1/2026,2283,75.01,1
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka. (National Mineral Development Corporation Limited [NMDC]) (400121) (N12000136) (3282)",Ministry of Steel,Steel,Karnataka,6/1/2024,8/1/2026,1043.63,628.29,65,60.2024,1043.63,0,0,0,,,,
400136,SANGHMITRA OC (Ministry of Coal) (400136) (-) (3190),Ministry of Coal,Coal,Jharkhand,3/1/2024,3/1/2032,2660,17.03,16.77,0.6402,2660,0,0,0,,,,
400138,CHANDRAGUPT OCP (Ministry of Coal) (400138) (N06000238) (3188),Ministry of Coal,Coal,Jharkhand,8/1/2020,3/1/2032,973.5,440.75,25.03,45.2748,973.5,0,0,0,,,,
400139,KOTRE BASANTPUR PACHMO OCP (Ministry of Coal) (400139) (N06000237) (3183),Ministry of Coal,Coal,Jharkhand,8/1/2020,3/1/2032,861.06,456.48,45.52,53.0137,625.4,-235.66,-27.3686,0,,,,
